Path	Purpose	Status	Authority	Action
3rd party licenses.md	Licenses used in Miataru iOS app	Current	License files and dependency manifests	Review when dependencies change
AGENTS.md	Miataru Repository Rules	Current	Active repository workflow	Keep requirements consistent across tools
Assets/App Icons/App Icon Template/readme.rtf	readme	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/App Icons/Variant 8 - Liquid Glass/Untitled Document 1.txt	Untitled Document 1	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/App Icons/Variant 8 - Liquid Glass/colors.txt	colors	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/App Icons/Variant 9 - Liquid Glass lighter/Untitled Document 1.txt	Untitled Document 1	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/App Icons/Variant 9 - Liquid Glass lighter/colors.txt	colors	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/UI Wireframes/Resources/Dribbble - iOS 7 OmniGraffle stencils (Freebie) by Hardheaded.co.webloc	Dribbble iOS 7 OmniGraffle stencils (Freebie) by Hardheaded.co	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/UI Wireframes/Resources/My app design workflow.webloc	My app design workflow	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/UI Wireframes/Resources/Tab Bar Icons iOS 7 Media Icons Pixeden.webloc	Tab Bar Icons iOS 7 Media Icons Pixeden	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/UI Wireframes/Resources/The iOS 7 Design Cheat Sheet - Ivo Mynttinen - User Interface Designer.webloc	The iOS 7 Design Cheat Sheet Ivo Mynttinen User Interface Designer	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/UI Wireframes/iPad App Wireframes.graffle	iPad App Wireframes	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/UI Wireframes/iPhone App Wireframes.graffle/image9.pdf	image9	historisch	Original design/reference assets	Retain as historical visual or external reference
Assets/UI Wireframes/iPhone App Wireframes.pdf	iPhone App Wireframes	historisch	Original design/reference assets	Retain as historical visual or external reference
LICENSE	LICENSE	Current	License files and dependency manifests	Review when dependencies change
README.md	miataru iOS App	Current	App code and project settings	Keep verified against current implementation
documentation/DOCUMENTATION_INVENTORY.md	Documentation Inventory and Cleanup	Current	App code and project settings	Keep topic facts and links verified
documentation/Intent-Sprint/00-overview.md	Intent Sprint Overview	P0 target	App Intents code and living reference	Keep implemented and planned stages distinct
