Key,English Text,Deutsche Übersetzung,Japanische Übersetzung
,,,
'.,,'.,'.
%lld,%lld,%lld,%lld
%lld %@,%1$lld %2$@,%1$lld %2$@,%1$lld %2$@
•,,•,・
1day,1 day,1 Tag,1日
1hour,1 hour,1 Stunde,1時間
1km,1 km,1 km,1キロメートル
2days,2 days,2 Tage,2日間
2hours,2 hours,2 Stunden,2時間
2km,2 km,2 km,2キロメートル
3days,3 days,3 Tage,3日間
4days,4 days,4 Tage,4日間
5days,5 days,5 Tage,5日間
5km,5 km,5 km,5キロメートル
5s,5 seconds,5 s,5秒
6days,6 days,6 Tage,6日間
6hours,6 hours,6 Stunden,6時間
7days,7 days,7 Tage,7日間
10km,10 km,10 km,10キロメートル
10s,10 seconds,10 s,10秒
12hours,12 hours,12 Stunden,12時間
14days,14 days,14 Tage,14日間
15s,15 seconds,15 s,15秒
24hours,24 hours,24 Stunden,24時間
25km,25 km,25 km,25キロメートル
30minutes,30 minutes,30 Minuten,30分
30s,30 seconds,30 s,30秒
31days,31 days,31 Tage,31日間
50km,50 km,50 km,50キロメートル
60s,60 seconds,60 s,60秒
100km,100 km,100 km,100キロメートル
A number of your last location updates is stored on the server (default: last 1000).,A number of your last location updates is stored on the server (default: last 1000).,Eine Anzahl deiner letzten Standort-Updates wird auf dem Server gespeichert (Standard: die letzten 1000).,サーバーにはあなたの最後の位置情報更新が一定数（デフォルト: 最新1000件）保存されます。
Accuracy,Accuracy,Genauigkeit,精度
activity_type_accuracy_explanation,You can choose the update frequency of your location when the app is used in the foreground. Standard is recommended for most users and saves battery.,Du kannst die Aktualisierungsfrequenz deines Standorts im Hintergrund auswählen. Standard wird den meisten Nutzern empfohlen und spart Akku.,アプリがバックグラウンドにある際の位置情報更新頻度を選択できます。標準がほとんどのユーザーに推奨され、バッテリーを節約します。
activity_type_accuracy_settings_title,Location tracking sensitivity (foreground),Empfindlichkeit der Standortverfolgung (Vordergrund),位置追跡の感度（フォアグラウンド）
activity_type_automotive,Highest (Navigation),Höchste (Navigation),最高（ナビ）
activity_type_fitness,"Medium (Cycling, Running)","Mittel (Radfahren, Laufen)",中（サイクリング、ランニング）
activity_type_other,Standard (default),Standard (Voreinstellung),標準（デフォルト）
activity_type_tracking_accuracy_title,how aggressive should your device location be updated?,Wie aggressiv sollen die Standortaktualisierungen deines Geräts sein?,デバイスの位置情報更新のアグレッシブさはどの程度にしますか？
add,add,hinzufügen,追加
add_new_group,Add a new group,Neue Gruppe hinzufügen,新しいグループを追加
adddevice_duplicate_device_already_exists_message,A device with this DeviceID already exists.,Ein Gerät mit dieser Geräte-ID existiert bereits.,このデバイスIDを持つデバイスは既に存在します。
adddevice_duplicate_device_id_title,Duplicate device,Doppeltes Gerät,重複したデバイス
all_available,all available data,alle verfügbaren Daten,利用可能なすべてのデータ
Allow While Using App,Allow While Using App,"Zulassen, während die App verwendet wird",アプリ使用中のみ許可
app_behaviour,Application behaviour,Anwendungsverhalten,アプリの動作
Background Updates:,Number of background updates:,Anzahl der Hintergrundaktualisierungen:,バックグラウンド更新数：
Background-Status,Background-Status,Hintergrund-Status,バックグラウンドステータス
cancel,cancel,abbrechen,キャンセル
